access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,888034.5478,55633.7689,0.2035,131072.0000,16384.0000,0.0102,2.9450,1.4089,2.9520,640,0
write,1032058.9389,64585.1306,0.2992,131072.0000,16384.0000,0.0063,2.5368,0.6376,2.5400,640,1
write,1654952.6176,103634.6085,0.1947,131072.0000,16384.0000,0.0058,1.5809,0.0682,1.5840,640,2
write,1475946.2605,92421.1731,0.2129,131072.0000,16384.0000,0.0064,1.7728,0.1116,1.7761,640,3
write,705995.3802,44164.1285,0.4531,131072.0000,16384.0000,0.0065,3.7098,1.4004,3.7131,640,4
