access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,1285422.1639,80484.4054,0.4515,131072.0000,16384.0000,0.0431,3.6642,1.0808,3.6709,1152,0
write,1399001.2703,87520.0966,0.4016,131072.0000,16384.0000,0.0814,3.3696,0.7428,3.3728,1152,1
write,1390692.9957,87351.5410,0.4133,131072.0000,16384.0000,0.0652,3.3762,0.7401,3.3930,1152,2
write,1404635.1334,88123.0013,0.4093,131072.0000,16384.0000,0.0747,3.3466,0.7218,3.3593,1152,3
write,1363875.8515,85492.2721,0.4086,131072.0000,16384.0000,0.0568,3.4496,0.8279,3.4597,1152,4
