access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,1129413.2468,70946.7642,0.3487,131072.0000,16384.0000,0.0453,3.2331,0.9734,3.2495,896,0
write,597990.6820,37428.0483,0.7345,131072.0000,16384.0000,0.1429,6.1285,1.0882,6.1372,896,1
write,635341.8526,39785.1645,0.6858,131072.0000,16384.0000,0.1064,5.7654,1.2189,5.7764,896,2
write,956469.1401,59830.6990,0.4587,131072.0000,16384.0000,0.1273,3.8338,1.2545,3.8370,896,3
write,456369.1835,28556.0014,0.9869,131072.0000,16384.0000,0.1306,8.0325,1.5916,8.0418,896,4
