access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,620432.0169,77897.4740,0.0497,131072.0000,8192.0000,0.0067,0.8413,0.0906,0.8450,128,0
write,674859.1850,84707.7462,0.0463,131072.0000,8192.0000,0.0061,0.7737,0.0681,0.7769,128,1
write,675976.3068,84843.8356,0.0460,131072.0000,8192.0000,0.0060,0.7724,0.0699,0.7756,128,2
write,664900.4476,83454.8491,0.0470,131072.0000,8192.0000,0.0061,0.7853,0.0641,0.7885,128,3
write,622938.4696,78162.2593,0.0524,131072.0000,8192.0000,0.0060,0.8385,0.1363,0.8416,128,4
