access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,1001553.6240,502855.3042,0.0727,131072.0000,2048.0000,0.0553,5.2131,2.6975,5.2347,1280,0
write,1033395.2090,518403.6917,0.0710,131072.0000,2048.0000,0.0517,5.0568,2.4469,5.0735,1280,1
write,755855.8637,378878.3458,0.0705,131072.0000,2048.0000,0.0554,6.9189,4.1574,6.9363,1280,2
write,851988.2520,427141.6275,0.0839,131072.0000,2048.0000,0.0517,6.1372,2.8760,6.1537,1280,3
write,995386.8925,498018.8967,0.0753,131072.0000,2048.0000,0.0507,5.2637,2.6634,5.2672,1280,4
