access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,1041023.6240,65223.4870,0.1237,131072.0000,16384.0000,0.0067,1.5072,0.5689,1.5109,384,0
write,1423115.2210,89195.3559,0.1180,131072.0000,16384.0000,0.0060,1.1021,0.1581,1.1052,384,1
write,1251093.0149,78392.1689,0.1524,131072.0000,16384.0000,0.0060,1.2540,0.0911,1.2572,384,2
write,1607354.8600,100788.6420,0.1202,131072.0000,16384.0000,0.0061,0.9753,0.0303,0.9785,384,3
write,1578130.4499,98973.6401,0.1205,131072.0000,16384.0000,0.0066,0.9932,0.0478,0.9967,384,4
