access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,282070.8910,282680.5982,0.0141,131072.0000,1024.0000,0.0071,1.8547,0.0872,1.8587,128,0
write,305712.9989,306296.6708,0.0132,131072.0000,1024.0000,0.0063,1.7117,0.0521,1.7150,128,1
write,315519.5005,316094.1775,0.0127,131072.0000,1024.0000,0.0057,1.6586,0.0570,1.6617,128,2
write,247904.2511,248278.5251,0.0160,131072.0000,1024.0000,0.0060,2.1117,0.1545,2.1149,128,3
write,260607.3112,261026.5649,0.0155,131072.0000,1024.0000,0.0061,2.0086,0.0646,2.0118,128,4
