access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,439039.5682,219663.9650,0.1208,131072.0000,2048.0000,0.0317,8.3537,4.2956,8.3592,896,0
write,875042.9779,439816.5639,0.0615,131072.0000,2048.0000,0.1365,4.1722,1.6196,4.1941,896,1
write,853174.6368,427847.7014,0.0634,131072.0000,2048.0000,0.1114,4.2889,1.6354,4.3016,896,2
write,837535.0813,421998.2771,0.0634,131072.0000,2048.0000,0.1564,4.3484,1.7227,4.3819,896,3
write,856852.7618,429704.5080,0.0627,131072.0000,2048.0000,0.1069,4.2704,1.6364,4.2831,896,4
