access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,696799.0536,348834.4055,0.0459,131072.0000,2048.0000,0.0089,4.5089,1.7350,4.5145,768,0
write,496254.6609,248253.3552,0.0949,131072.0000,2048.0000,0.0063,6.3357,0.7802,6.3389,768,1
write,1094375.9948,547813.4955,0.0438,131072.0000,2048.0000,0.0063,2.8712,0.1793,2.8744,768,2
write,1285683.0305,643658.8243,0.0364,131072.0000,2048.0000,0.0059,2.4436,0.2527,2.4467,768,3
write,1208233.6243,604858.3601,0.0356,131072.0000,2048.0000,0.0062,2.6004,0.3619,2.6036,768,4
