access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,3668.0110,234792.6917,0.0044,131072.0000,16.0000,0.0093,35.7277,0.1737,35.7338,32,0
read,3930.9006,251602.1237,0.0041,131072.0000,16.0000,0.0067,33.3408,0.1638,33.3440,32,0
write,3670.0137,234903.6939,0.0043,131072.0000,16.0000,0.0068,35.7108,0.1751,35.7143,32,1
read,3917.3295,250734.3050,0.0041,131072.0000,16.0000,0.0066,33.4562,0.1653,33.4595,32,1
write,3650.0870,233627.0519,0.0044,131072.0000,16.0000,0.0064,35.9060,0.2630,35.9093,32,2
read,3908.4219,250162.8102,0.0041,131072.0000,16.0000,0.0062,33.5326,0.2338,33.5358,32,2
write,3653.9184,233872.5115,0.0044,131072.0000,16.0000,0.0064,35.8683,0.2121,35.8716,32,3
read,3315.3542,212199.9821,0.0048,131072.0000,16.0000,0.0063,39.5316,0.6644,39.5348,32,3
write,3633.4387,232561.6120,0.0044,131072.0000,16.0000,0.0064,36.0705,0.2438,36.0738,32,4
read,3986.9902,255192.3159,0.0040,131072.0000,16.0000,0.0063,32.8717,0.1944,32.8749,32,4
