access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,32857.8080,2064.7081,0.0910,131072.0000,16384.0000,0.0073,0.7439,0.0535,0.7480,6,0
read,45071.1731,2842.1708,0.0669,131072.0000,16384.0000,0.0096,0.5404,0.0076,0.5453,6,0
write,30831.4490,1935.1988,0.0986,131072.0000,16384.0000,0.0066,0.7937,0.0312,0.7971,6,1
read,45872.8435,2884.4359,0.0660,131072.0000,16384.0000,0.0064,0.5325,0.0054,0.5357,6,1
write,30772.3951,1931.5846,0.0982,131072.0000,16384.0000,0.0066,0.7952,0.0331,0.7986,6,2
read,45135.1350,2838.2166,0.0671,131072.0000,16384.0000,0.0065,0.5412,0.0049,0.5445,6,2
write,30640.1471,1923.2092,0.0986,131072.0000,16384.0000,0.0066,0.7987,0.0315,0.8021,6,3
read,46059.4743,2896.4521,0.0659,131072.0000,16384.0000,0.0064,0.5303,0.0050,0.5336,6,3
write,31198.1114,1958.4418,0.0969,131072.0000,16384.0000,0.0067,0.7843,0.0318,0.7877,6,4
read,46180.7267,2904.4096,0.0659,131072.0000,16384.0000,0.0065,0.5289,0.0044,0.5322,6,4
