access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,11802.5559,11842.5312,0.0156,131072.0000,1024.0000,0.0102,2.0752,0.0747,2.0823,6,0
read,18363.6644,18408.5477,0.0104,131072.0000,1024.0000,0.0064,1.3350,0.0095,1.3383,6,0
write,13933.6079,13961.2969,0.0135,131072.0000,1024.0000,0.0069,1.7603,0.0268,1.7638,6,1
read,18678.8162,18727.0377,0.0102,131072.0000,1024.0000,0.0066,1.3123,0.0045,1.3157,6,1
write,13260.8913,13283.8371,0.0143,131072.0000,1024.0000,0.0062,1.8501,0.0247,1.8533,6,2
read,17960.0539,18000.8615,0.0106,131072.0000,1024.0000,0.0061,1.3653,0.0077,1.3684,6,2
write,13820.2198,13846.7564,0.0137,131072.0000,1024.0000,0.0066,1.7749,0.0216,1.7783,6,3
read,18583.1410,18629.8389,0.0102,131072.0000,1024.0000,0.0065,1.3192,0.0077,1.3225,6,3
write,14095.9945,14121.8487,0.0135,131072.0000,1024.0000,0.0062,1.7403,0.0145,1.7435,6,4
read,18567.2045,18610.8782,0.0103,131072.0000,1024.0000,0.0061,1.3205,0.0076,1.3236,6,4
