access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,15737.7941,7887.1115,0.0240,131072.0000,2048.0000,0.0068,1.5580,0.0496,1.5616,6,0
read,20017.2822,10034.8472,0.0191,131072.0000,2048.0000,0.0063,1.2245,0.0227,1.2277,6,0
write,16762.2353,8400.8675,0.0225,131072.0000,2048.0000,0.0068,1.4627,0.0232,1.4662,6,1
read,19927.3145,9990.7724,0.0192,131072.0000,2048.0000,0.0065,1.2299,0.0110,1.2333,6,1
write,17318.2158,8680.4427,0.0219,131072.0000,2048.0000,0.0068,1.4156,0.0124,1.4191,6,2
read,20504.9114,10281.7339,0.0186,131072.0000,2048.0000,0.0067,1.1951,0.0088,1.1985,6,2
write,17047.4418,8543.4313,0.0223,131072.0000,2048.0000,0.0064,1.4383,0.0164,1.4416,6,3
read,20412.3321,10233.3145,0.0188,131072.0000,2048.0000,0.0063,1.2008,0.0112,1.2040,6,3
write,17151.1382,8594.8709,0.0222,131072.0000,2048.0000,0.0062,1.4297,0.0205,1.4329,6,4
read,20282.9351,10167.4039,0.0187,131072.0000,2048.0000,0.0061,1.2086,0.0160,1.2117,6,4
