access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,44154.8804,2773.1365,0.0903,131072.0000,16384.0000,0.0068,0.7385,0.0424,0.7421,8,0
read,59813.0972,3760.2750,0.0677,131072.0000,16384.0000,0.0063,0.5446,0.0095,0.5478,8,0
write,41666.6652,2615.2602,0.0963,131072.0000,16384.0000,0.0065,0.7831,0.0230,0.7864,8,1
read,58315.6944,3665.4297,0.0674,131072.0000,16384.0000,0.0062,0.5587,0.0238,0.5619,8,1
write,40436.3991,2537.3860,0.0956,131072.0000,16384.0000,0.0062,0.8071,0.0528,0.8104,8,2
read,60994.4666,3834.6450,0.0653,131072.0000,16384.0000,0.0061,0.5341,0.0146,0.5372,8,2
write,40382.2811,2534.2554,0.0965,131072.0000,16384.0000,0.0064,0.8081,0.0489,0.8114,8,3
read,59366.0832,3732.0784,0.0655,131072.0000,16384.0000,0.0063,0.5488,0.0265,0.5520,8,3
write,41297.2413,2591.8639,0.0941,131072.0000,16384.0000,0.0064,0.7902,0.0475,0.7935,8,4
read,59032.1782,3710.7841,0.0683,131072.0000,16384.0000,0.0062,0.5519,0.0147,0.5551,8,4
