access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,902.6355,57774.6589,0.0044,131072.0000,16.0000,0.0070,36.2988,0.0967,36.3026,8,0
read,961.2290,61524.6578,0.0042,131072.0000,16.0000,0.0066,34.0864,0.0812,34.0897,8,0
write,900.2295,57619.8201,0.0044,131072.0000,16.0000,0.0063,36.3964,0.0806,36.3996,8,1
read,956.1019,61196.0957,0.0042,131072.0000,16.0000,0.0061,34.2694,0.1085,34.2725,8,1
write,899.3090,57561.3069,0.0044,131072.0000,16.0000,0.0067,36.4334,0.1105,36.4369,8,2
read,955.5874,61163.5055,0.0042,131072.0000,16.0000,0.0065,34.2876,0.1095,34.2910,8,2
write,897.5550,57448.9966,0.0044,131072.0000,16.0000,0.0067,36.5046,0.0950,36.5081,8,3
read,962.0148,61574.9924,0.0042,131072.0000,16.0000,0.0065,34.0585,0.0860,34.0618,8,3
write,910.7746,58294.8976,0.0044,131072.0000,16.0000,0.0063,35.9749,0.0729,35.9782,8,4
read,957.1177,61261.1491,0.0042,131072.0000,16.0000,0.0062,34.2330,0.0703,34.2361,8,4
