access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,21338.7652,10694.4050,0.0239,131072.0000,2048.0000,0.0067,1.5320,0.0528,1.5356,8,0
read,26563.1847,13317.0545,0.0191,131072.0000,2048.0000,0.0064,1.2303,0.0246,1.2336,8,0
write,22746.8360,11401.0086,0.0222,131072.0000,2048.0000,0.0069,1.4371,0.0193,1.4406,8,1
read,27008.8482,13541.6695,0.0188,131072.0000,2048.0000,0.0066,1.2099,0.0151,1.2132,8,1
write,22647.9620,11350.4883,0.0223,131072.0000,2048.0000,0.0065,1.4435,0.0234,1.4468,8,2
read,27013.1693,13542.8037,0.0187,131072.0000,2048.0000,0.0064,1.2098,0.0142,1.2130,8,2
write,20960.3068,10501.2180,0.0241,131072.0000,2048.0000,0.0060,1.5602,0.0355,1.5633,8,3
read,25960.1795,13011.0431,0.0196,131072.0000,2048.0000,0.0059,1.2592,0.0207,1.2622,8,3
write,22991.2495,11523.5107,0.0221,131072.0000,2048.0000,0.0067,1.4218,0.0139,1.4252,8,4
read,26845.7688,13459.4725,0.0187,131072.0000,2048.0000,0.0065,1.2173,0.0228,1.2206,8,4
