access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,42052.7406,21076.9789,0.0243,131072.0000,2048.0000,0.0070,1.5547,0.1219,1.5584,16,0
read,49312.7073,24718.4982,0.0205,131072.0000,2048.0000,0.0066,1.3256,0.0225,1.3290,16,0
write,45641.2517,22875.2980,0.0219,131072.0000,2048.0000,0.0067,1.4325,0.0524,1.4359,16,1
read,49616.9865,24870.3865,0.0205,131072.0000,2048.0000,0.0064,1.3176,0.0128,1.3208,16,1
write,46701.1152,23409.0096,0.0214,131072.0000,2048.0000,0.0068,1.3998,0.0310,1.4033,16,2
read,46448.9323,23280.7773,0.0215,131072.0000,2048.0000,0.0067,1.4075,0.0332,1.4109,16,2
write,45873.9280,22989.7958,0.0220,131072.0000,2048.0000,0.0063,1.4253,0.0338,1.4286,16,3
read,48914.9070,24515.2045,0.0205,131072.0000,2048.0000,0.0062,1.3366,0.0331,1.3398,16,3
write,46309.4605,23211.1737,0.0217,131072.0000,2048.0000,0.0066,1.4117,0.0320,1.4152,16,4
read,50043.8683,25085.3790,0.0202,131072.0000,2048.0000,0.0065,1.3063,0.0110,1.3096,16,4
