access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,639.0529,40909.5268,0.0047,131072.0000,16.0000,0.0127,38.4474,0.1976,38.4569,6,0
read,744.9151,47679.3399,0.0040,131072.0000,16.0000,0.0066,32.9884,0.1466,32.9917,6,0
write,671.3965,42973.2817,0.0045,131072.0000,16.0000,0.0065,36.6010,0.0569,36.6043,6,1
read,721.3037,46167.7771,0.0042,131072.0000,16.0000,0.0063,34.0684,0.0420,34.0716,6,1
write,666.9789,42690.5364,0.0045,131072.0000,16.0000,0.0065,36.8434,0.1474,36.8467,6,2
read,711.4193,45535.0974,0.0042,131072.0000,16.0000,0.0063,34.5418,0.1334,34.5450,6,2
write,664.9533,42560.9477,0.0045,131072.0000,16.0000,0.0066,36.9556,0.1622,36.9590,6,3
read,711.8448,45562.4042,0.0042,131072.0000,16.0000,0.0064,34.5211,0.1308,34.5244,6,3
write,666.9502,42688.9687,0.0045,131072.0000,16.0000,0.0069,36.8447,0.1082,36.8483,6,4
read,713.5175,45669.6876,0.0042,131072.0000,16.0000,0.0068,34.4400,0.0912,34.4434,6,4
