access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,1844.2814,118046.1130,0.0043,131072.0000,16.0000,0.0068,35.5311,0.1778,35.5347,16,0
read,1951.1786,124887.4186,0.0041,131072.0000,16.0000,0.0065,33.5847,0.1498,33.5879,16,0
write,1833.2582,117339.5448,0.0044,131072.0000,16.0000,0.0066,35.7450,0.1148,35.7484,16,1
read,1942.2304,124314.7325,0.0041,131072.0000,16.0000,0.0064,33.7394,0.1165,33.7427,16,1
write,1826.4476,116903.6112,0.0044,131072.0000,16.0000,0.0065,35.8783,0.2017,35.8817,16,2
read,1940.3009,124191.4075,0.0041,131072.0000,16.0000,0.0065,33.7729,0.1855,33.7762,16,2
write,1824.1423,116756.6108,0.0044,131072.0000,16.0000,0.0068,35.9235,0.1569,35.9270,16,3
read,1937.9784,124043.2190,0.0041,131072.0000,16.0000,0.0067,33.8132,0.1454,33.8167,16,3
write,1819.4866,116457.4845,0.0044,131072.0000,16.0000,0.0062,36.0158,0.1729,36.0190,16,4
read,1937.4872,124010.6545,0.0041,131072.0000,16.0000,0.0061,33.8221,0.1651,33.8253,16,4
