access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,5351.3359,342523.0877,0.0045,131072.0000,16.0000,0.0075,36.7360,0.3697,36.7400,48,0
read,5856.1361,374829.0637,0.0041,131072.0000,16.0000,0.0068,33.5697,0.4686,33.5730,48,0
write,5392.3755,345144.5932,0.0045,131072.0000,16.0000,0.0067,36.4569,0.8567,36.4604,48,1
read,5768.7001,369232.8839,0.0042,131072.0000,16.0000,0.0065,34.0785,0.7742,34.0819,48,1
write,5373.8757,343961.3579,0.0045,131072.0000,16.0000,0.0068,36.5823,0.9302,36.5859,48,2
read,5748.2830,367927.1048,0.0042,131072.0000,16.0000,0.0067,34.1995,0.8819,34.2029,48,2
write,5352.0060,342562.1568,0.0045,131072.0000,16.0000,0.0070,36.7318,1.0528,36.7354,48,3
read,5709.9486,365474.1474,0.0042,131072.0000,16.0000,0.0069,34.4290,0.9796,34.4325,48,3
write,5333.4149,341370.0044,0.0045,131072.0000,16.0000,0.0066,36.8600,1.1300,36.8634,48,4
read,5721.5113,366212.2413,0.0042,131072.0000,16.0000,0.0065,34.3596,1.0362,34.3629,48,4
