access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,96883.3550,48531.8578,0.0309,131072.0000,2048.0000,0.0072,2.0256,0.3630,2.0293,48,0
read,45639.5567,22838.1908,0.0637,131072.0000,2048.0000,0.0071,4.3044,0.9052,4.3078,48,0
write,96830.3416,48496.4721,0.0274,131072.0000,2048.0000,0.0067,2.0270,0.3922,2.0304,48,1
read,44470.1898,22251.2306,0.0645,131072.0000,2048.0000,0.0063,4.4179,0.9620,4.4211,48,1
write,100984.5803,50580.7297,0.0280,131072.0000,2048.0000,0.0067,1.9435,0.3261,1.9469,48,2
read,46012.7565,23024.1598,0.0646,131072.0000,2048.0000,0.0065,4.2696,0.7068,4.2729,48,2
write,104385.0591,52289.4447,0.0272,131072.0000,2048.0000,0.0067,1.8800,0.2750,1.8835,48,3
read,46214.1542,23123.7035,0.0612,131072.0000,2048.0000,0.0060,4.2512,0.8119,4.2543,48,3
write,103524.9157,51852.5050,0.0278,131072.0000,2048.0000,0.0064,1.8958,0.2685,1.8991,48,4
read,45546.5045,22789.8941,0.0632,131072.0000,2048.0000,0.0062,4.3135,0.8007,4.3166,48,4
