access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,33579.4116,33643.6254,0.0144,131072.0000,1024.0000,0.0070,1.9479,0.1305,1.9517,16,0
read,47485.8968,47600.8238,0.0105,131072.0000,1024.0000,0.0066,1.3768,0.0287,1.3801,16,0
write,37981.0722,38055.2662,0.0132,131072.0000,1024.0000,0.0066,1.7221,0.0365,1.7255,16,1
read,48032.0240,48145.7588,0.0106,131072.0000,1024.0000,0.0063,1.3612,0.0209,1.3644,16,1
write,38166.3022,38241.5523,0.0132,131072.0000,1024.0000,0.0065,1.7137,0.0272,1.7171,16,2
read,42360.8179,42450.8490,0.0119,131072.0000,1024.0000,0.0064,1.5438,0.0196,1.5471,16,2
write,36103.6721,36171.2012,0.0140,131072.0000,1024.0000,0.0066,1.8118,0.0321,1.8152,16,3
read,48263.2959,48380.2928,0.0105,131072.0000,1024.0000,0.0064,1.3546,0.0206,1.3579,16,3
write,38407.8220,38480.1010,0.0131,131072.0000,1024.0000,0.0062,1.7031,0.0280,1.7063,16,4
read,48660.6030,48772.7161,0.0104,131072.0000,1024.0000,0.0061,1.3437,0.0145,1.3468,16,4
