access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,282804.8564,141704.5254,0.0223,131072.0000,2048.0000,0.0072,1.8499,0.4883,1.8539,128,0
read,444241.0196,222787.1067,0.0180,131072.0000,2048.0000,0.0067,1.1767,0.0458,1.1802,128,0
write,372448.7792,186677.8182,0.0205,131072.0000,2048.0000,0.0066,1.4043,0.1167,1.4077,128,1
read,447534.1021,224392.8300,0.0181,131072.0000,2048.0000,0.0063,1.1682,0.0352,1.1715,128,1
write,351936.8575,176378.0729,0.0215,131072.0000,2048.0000,0.0066,1.4863,0.1416,1.4897,128,2
read,447737.4848,224507.7427,0.0179,131072.0000,2048.0000,0.0065,1.1676,0.0408,1.1710,128,2
write,350177.8827,175494.6083,0.0216,131072.0000,2048.0000,0.0066,1.4937,0.1248,1.4972,128,3
read,449897.1028,225595.0821,0.0180,131072.0000,2048.0000,0.0065,1.1620,0.0331,1.1654,128,3
write,373499.5220,187203.4598,0.0204,131072.0000,2048.0000,0.0065,1.4003,0.1207,1.4037,128,4
read,450218.1059,225748.1646,0.0178,131072.0000,2048.0000,0.0064,1.1612,0.0321,1.1645,128,4
