access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,11127.2747,712367.2665,0.0043,131072.0000,16.0000,0.0143,35.3270,0.3146,35.3380,96,0
read,10737.1669,687243.5545,0.0040,131072.0000,16.0000,0.0068,36.6185,3.8676,36.6220,96,0
write,11098.2540,710357.8440,0.0043,131072.0000,16.0000,0.0068,35.4270,0.2512,35.4304,96,1
read,11236.6251,719212.5558,0.0040,131072.0000,16.0000,0.0065,34.9908,2.1283,34.9941,96,1
write,11035.0814,706313.7896,0.0043,131072.0000,16.0000,0.0067,35.6298,0.3252,35.6333,96,2
read,11896.6522,761463.7473,0.0040,131072.0000,16.0000,0.0066,33.0493,0.2942,33.0527,96,2
write,11020.5160,705378.1014,0.0043,131072.0000,16.0000,0.0063,35.6771,0.2823,35.6804,96,3
read,11704.2053,749140.0457,0.0040,131072.0000,16.0000,0.0062,33.5929,0.8232,33.5961,96,3
write,11032.0355,706120.1623,0.0043,131072.0000,16.0000,0.0068,35.6396,0.3120,35.6431,96,4
read,11694.3185,748512.0298,0.0040,131072.0000,16.0000,0.0066,33.6211,0.8943,33.6245,96,4
