access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,29536.4743,1890557.2216,0.0043,131072.0000,16.0000,0.0073,35.4969,0.4033,35.5011,256,0
read,29306.9000,1875814.0846,0.0043,131072.0000,16.0000,0.0065,35.7759,2.1153,35.7792,256,0
write,29700.4437,1901015.2358,0.0043,131072.0000,16.0000,0.0069,35.3016,0.4543,35.3051,256,1
read,29420.9676,1883119.2096,0.0041,131072.0000,16.0000,0.0065,35.6371,2.4214,35.6404,256,1
write,29680.1665,1899707.8281,0.0043,131072.0000,16.0000,0.0064,35.3259,0.3575,35.3292,256,2
read,29306.2792,1875773.5077,0.0041,131072.0000,16.0000,0.0063,35.7766,2.5055,35.7799,256,2
write,29658.8506,1898351.1446,0.0043,131072.0000,16.0000,0.0065,35.3511,0.3840,35.3546,256,3
read,29134.0838,1864751.3147,0.0041,131072.0000,16.0000,0.0064,35.9881,2.2086,35.9914,256,3
write,29249.8009,1872167.7484,0.0043,131072.0000,16.0000,0.0067,35.8455,0.5821,35.8490,256,4
read,29819.6824,1908641.0029,0.0041,131072.0000,16.0000,0.0066,35.1605,1.4717,35.1639,256,4
