access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,259413.9394,130118.9185,0.0232,131072.0000,2048.0000,0.0080,1.5110,0.0768,1.5158,96,0
read,324898.5899,162908.1493,0.0186,131072.0000,2048.0000,0.0066,1.2069,0.0213,1.2103,96,0
write,285706.8142,143219.9056,0.0206,131072.0000,2048.0000,0.0069,1.3728,0.0627,1.3763,96,1
read,340011.8875,170503.4341,0.0176,131072.0000,2048.0000,0.0066,1.1531,0.0265,1.1565,96,1
write,273141.2295,136896.2966,0.0215,131072.0000,2048.0000,0.0066,1.4362,0.0733,1.4396,96,2
read,341608.2274,171297.0057,0.0176,131072.0000,2048.0000,0.0065,1.1478,0.0245,1.1511,96,2
write,290156.8918,145441.3293,0.0201,131072.0000,2048.0000,0.0065,1.3518,0.0714,1.3552,96,3
read,340425.8207,170697.6564,0.0177,131072.0000,2048.0000,0.0064,1.1518,0.0255,1.1551,96,3
write,285277.9524,142970.1592,0.0204,131072.0000,2048.0000,0.0062,1.3752,0.0733,1.3784,96,4
read,338388.0408,169647.3165,0.0178,131072.0000,2048.0000,0.0061,1.1589,0.0230,1.1620,96,4
