access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,55522.4834,3553861.5006,0.0046,131072.0000,16.0000,0.0079,37.7667,0.5168,37.7712,512,0
read,54265.5857,3473310.9758,0.0046,131072.0000,16.0000,0.0069,38.6426,1.0409,38.6461,512,0
write,56579.5705,3621426.0852,0.0045,131072.0000,16.0000,0.0068,37.0621,0.5682,37.0655,512,1
read,55562.5395,3556316.8735,0.0046,131072.0000,16.0000,0.0065,37.7407,1.2990,37.7440,512,1
write,58187.9220,3724364.8113,0.0044,131072.0000,16.0000,0.0064,36.0378,0.4782,36.0410,512,2
read,55144.1052,3529525.5885,0.0045,131072.0000,16.0000,0.0064,38.0271,1.6115,38.0304,512,2
write,57764.7798,3697298.6528,0.0044,131072.0000,16.0000,0.0067,36.3016,0.6384,36.3050,512,3
read,54906.6506,3514337.4706,0.0045,131072.0000,16.0000,0.0067,38.1915,1.7004,38.1949,512,3
write,57952.1753,3709284.7548,0.0044,131072.0000,16.0000,0.0066,36.1843,0.5766,36.1876,512,4
read,55225.7190,3534751.6119,0.0045,131072.0000,16.0000,0.0065,37.9709,1.4900,37.9742,512,4
