access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,454408.9926,455230.4537,0.0162,131072.0000,1024.0000,0.0077,2.3034,0.2557,2.3076,256,0
read,522466.6618,523391.9092,0.0154,131072.0000,1024.0000,0.0071,2.0034,0.0500,2.0070,256,0
write,418018.5286,418581.1630,0.0194,131072.0000,1024.0000,0.0067,2.5051,0.1525,2.5084,256,1
read,580828.4670,581880.7981,0.0140,131072.0000,1024.0000,0.0065,1.8020,0.0360,1.8053,256,1
write,542461.2694,543449.7587,0.0148,131072.0000,1024.0000,0.0069,1.9295,0.0716,1.9330,256,2
read,676083.2338,677574.2714,0.0119,131072.0000,1024.0000,0.0079,1.5475,0.0276,1.5510,256,2
write,485224.7441,485970.9162,0.0162,131072.0000,1024.0000,0.0065,2.1577,0.1277,2.1610,256,3
read,828512.4537,830609.8026,0.0097,131072.0000,1024.0000,0.0064,1.2624,0.0467,1.2656,256,3
write,540166.5080,541143.8478,0.0148,131072.0000,1024.0000,0.0069,1.9377,0.0839,1.9412,256,4
read,715597.7360,717266.3847,0.0113,131072.0000,1024.0000,0.0068,1.4619,0.0280,1.4653,256,4
