access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,76231.2528,4879621.9972,0.0050,131072.0000,16.0000,0.0104,41.2586,0.7940,41.2656,768,0
read,77998.1920,4992338.2235,0.0048,131072.0000,16.0000,0.0073,40.3271,0.9853,40.3308,768,0
write,80928.4889,5179896.9138,0.0047,131072.0000,16.0000,0.0070,38.8669,0.8919,38.8705,768,1
read,77004.6204,4928698.2190,0.0048,131072.0000,16.0000,0.0066,40.8478,1.8968,40.8512,768,1
write,81348.1861,5206740.5922,0.0045,131072.0000,16.0000,0.0065,38.6665,2.0106,38.6699,768,2
read,76985.0972,4927440.2747,0.0048,131072.0000,16.0000,0.0064,40.8583,1.9463,40.8615,768,2
write,81054.3207,5187925.8053,0.0045,131072.0000,16.0000,0.0065,38.8068,2.0982,38.8101,768,3
read,77604.4776,4967094.3545,0.0047,131072.0000,16.0000,0.0065,40.5321,1.9987,40.5354,768,3
write,42232.6672,2703016.4726,0.0084,131072.0000,16.0000,0.0067,74.4822,7.2731,74.4857,768,4
read,76380.2053,4888727.9580,0.0048,131072.0000,16.0000,0.0066,41.1818,2.1617,41.1851,768,4
