access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,927905.6141,464599.0970,0.0381,131072.0000,2048.0000,0.0741,3.3854,1.0618,3.3901,768,0
read,923687.6136,462384.8451,0.0444,131072.0000,2048.0000,0.0077,3.4016,0.8667,3.4056,768,0
write,489808.6623,245038.4334,0.0870,131072.0000,2048.0000,0.0069,6.4188,1.8681,6.4224,768,1
read,1136864.1521,569104.1700,0.0398,131072.0000,2048.0000,0.0064,2.7638,0.3371,2.7670,768,1
write,1236782.9972,619195.8411,0.0355,131072.0000,2048.0000,0.0064,2.5402,0.3600,2.5435,768,2
read,1035197.4825,518137.5494,0.0421,131072.0000,2048.0000,0.0062,3.0356,0.4776,3.0388,768,2
write,1264811.0485,633305.6667,0.0362,131072.0000,2048.0000,0.0068,2.4836,0.2266,2.4871,768,3
read,999787.0366,500429.2151,0.0467,131072.0000,2048.0000,0.0066,3.1430,0.2627,3.1464,768,3
write,1318163.8068,660029.9293,0.0311,131072.0000,2048.0000,0.0067,2.3830,0.4061,2.3864,768,4
read,1179157.9498,590299.4494,0.0391,131072.0000,2048.0000,0.0064,2.6645,0.2688,2.6678,768,4
