access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,516299.7614,32532.3835,0.0916,131072.0000,16384.0000,0.0096,0.7554,0.0748,0.7616,96,0
read,656942.3007,41303.2894,0.0709,131072.0000,16384.0000,0.0069,0.5950,0.0418,0.5986,96,0
write,474402.9193,29773.1026,0.0947,131072.0000,16384.0000,0.0067,0.8254,0.0935,0.8289,96,1
read,695344.7877,43711.7324,0.0656,131072.0000,16384.0000,0.0064,0.5622,0.0460,0.5655,96,1
write,474192.4557,29766.2159,0.0967,131072.0000,16384.0000,0.0070,0.8256,0.0960,0.8292,96,2
read,671517.9021,42220.1959,0.0681,131072.0000,16384.0000,0.0068,0.5821,0.0461,0.5856,96,2
write,448753.2700,28159.6268,0.1030,131072.0000,16384.0000,0.0067,0.8727,0.0928,0.8762,96,3
read,675199.5657,42440.4058,0.0668,131072.0000,16384.0000,0.0065,0.5791,0.0568,0.5824,96,3
write,459927.6510,28863.6396,0.0998,131072.0000,16384.0000,0.0068,0.8515,0.1136,0.8550,96,4
read,586170.4828,36819.9623,0.0784,131072.0000,16384.0000,0.0066,0.6675,0.0512,0.6708,96,4
