access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,953528.8276,59682.8774,0.2178,131072.0000,16384.0000,0.0681,3.2942,1.6227,3.2990,768,0
read,279615.6979,17481.8670,1.2998,131072.0000,16384.0000,0.0074,11.2464,1.1457,11.2502,768,0
write,1692936.5278,106020.3795,0.2253,131072.0000,16384.0000,0.0072,1.8544,0.0738,1.8581,768,1
read,274143.0380,17139.4469,1.3540,131072.0000,16384.0000,0.0076,11.4711,1.4261,11.4748,768,1
write,1671365.8227,104663.4003,0.2292,131072.0000,16384.0000,0.0071,1.8785,0.1098,1.8821,768,2
read,259986.2878,16253.9709,1.4966,131072.0000,16384.0000,0.0074,12.0960,1.1442,12.0996,768,2
write,1675328.0065,104905.9957,0.2298,131072.0000,16384.0000,0.0069,1.8741,0.1105,1.8777,768,3
read,276261.8811,17272.0179,1.2993,131072.0000,16384.0000,0.0074,11.3830,1.4791,11.3868,768,3
write,1650175.6571,103329.2072,0.2285,131072.0000,16384.0000,0.0071,1.9027,0.1460,1.9063,768,4
read,268946.7404,16814.0213,1.4163,131072.0000,16384.0000,0.0070,11.6931,1.1383,11.6965,768,4
