access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,257142.1988,257649.7083,0.0153,131072.0000,1024.0000,0.0072,2.0349,0.1438,2.0389,128,0
read,359630.4980,360469.9100,0.0113,131072.0000,1024.0000,0.0066,1.4545,0.0576,1.4579,128,0
write,303209.8338,303798.7925,0.0132,131072.0000,1024.0000,0.0065,1.7258,0.0504,1.7291,128,1
read,356797.8447,357581.6186,0.0113,131072.0000,1024.0000,0.0063,1.4662,0.0362,1.4694,128,1
write,286934.0883,287439.0660,0.0140,131072.0000,1024.0000,0.0062,1.8240,0.0624,1.8272,128,2
read,278791.6185,279254.0270,0.0146,131072.0000,1024.0000,0.0061,1.8775,0.0436,1.8806,128,2
write,266264.4194,266722.0145,0.0151,131072.0000,1024.0000,0.0065,1.9657,0.1292,1.9691,128,3
read,424750.6390,425886.8395,0.0093,131072.0000,1024.0000,0.0064,1.2311,0.0472,1.2343,128,3
write,293254.0096,293833.9819,0.0136,131072.0000,1024.0000,0.0068,1.7843,0.0690,1.7878,128,4
read,361540.5271,362397.2507,0.0112,131072.0000,1024.0000,0.0067,1.4467,0.0301,1.4502,128,4
