access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,664756.9859,665624.3270,0.0215,131072.0000,1024.0000,0.0076,3.1507,0.5620,3.1548,512,0
read,1002720.0628,1004390.7973,0.0123,131072.0000,1024.0000,0.0069,2.0880,0.5363,2.0915,512,0
write,718450.5077,719334.4626,0.0220,131072.0000,1024.0000,0.0071,2.9154,0.2682,2.9190,512,1
read,1104268.6792,1106260.2300,0.0146,131072.0000,1024.0000,0.0067,1.8957,0.0339,1.8991,512,1
write,767820.5433,768736.1077,0.0204,131072.0000,1024.0000,0.0063,2.7281,0.2265,2.7313,512,2
read,973400.7472,974868.1539,0.0125,131072.0000,1024.0000,0.0063,2.1512,0.5733,2.1545,512,2
write,751848.1903,752770.3575,0.0211,131072.0000,1024.0000,0.0066,2.7859,0.2100,2.7893,512,3
read,1215004.8224,1217311.1302,0.0125,131072.0000,1024.0000,0.0064,1.7228,0.1366,1.7260,512,3
write,775313.0304,776323.8403,0.0203,131072.0000,1024.0000,0.0068,2.7014,0.1995,2.7049,512,4
read,1244362.0600,1246870.8808,0.0126,131072.0000,1024.0000,0.0067,1.6819,0.0797,1.6853,512,4
