access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,1172631.5050,73594.3184,0.1541,131072.0000,16384.0000,0.0107,1.7810,0.6379,1.7884,512,0
read,217968.6062,13627.9342,1.1536,131072.0000,16384.0000,0.0068,9.6179,1.3752,9.6213,512,0
write,1646846.3716,103217.0163,0.1544,131072.0000,16384.0000,0.0069,1.2699,0.0684,1.2734,512,1
read,229073.6857,14322.3795,1.1117,131072.0000,16384.0000,0.0067,9.1516,1.5339,9.1549,512,1
write,1597867.8286,100141.5745,0.1591,131072.0000,16384.0000,0.0070,1.3089,0.0978,1.3125,512,2
read,324661.4057,20302.1847,0.7485,131072.0000,16384.0000,0.0069,6.4561,1.1760,6.4595,512,2
write,1656837.6364,103844.5821,0.1536,131072.0000,16384.0000,0.0069,1.2622,0.0861,1.2658,512,3
read,212447.2078,13282.5037,1.2135,131072.0000,16384.0000,0.0069,9.8680,1.5894,9.8714,512,3
write,1496309.0281,93751.4231,0.1651,131072.0000,16384.0000,0.0073,1.3981,0.1250,1.4016,512,4
read,232111.5252,14512.2819,1.0441,131072.0000,16384.0000,0.0066,9.0318,2.1952,9.0351,512,4
