access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,704424.7209,352816.5066,0.0306,131072.0000,2048.0000,0.0086,2.9720,1.1061,2.9771,512,0
read,885504.1922,443418.8249,0.0287,131072.0000,2048.0000,0.0069,2.3648,0.5651,2.3683,512,0
write,958106.6964,479824.9815,0.0318,131072.0000,2048.0000,0.0069,2.1853,0.2375,2.1889,512,1
read,1079705.5099,540775.1608,0.0292,131072.0000,2048.0000,0.0065,1.9390,0.1542,1.9423,512,1
write,1148948.7377,575610.8879,0.0272,131072.0000,2048.0000,0.0070,1.8217,0.1315,1.8253,512,2
read,1103109.8342,552567.8316,0.0277,131072.0000,2048.0000,0.0068,1.8976,0.1399,1.9011,512,2
write,953433.7747,477499.3058,0.0319,131072.0000,2048.0000,0.0069,2.1960,0.2824,2.1996,512,3
read,1188886.6257,595607.8665,0.0267,131072.0000,2048.0000,0.0067,1.7605,0.0742,1.7640,512,3
write,1185321.8153,593848.0679,0.0262,131072.0000,2048.0000,0.0068,1.7657,0.1297,1.7693,512,4
read,1098222.7261,550102.9288,0.0284,131072.0000,2048.0000,0.0067,1.9061,0.1069,1.9096,512,4
