access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,14763.9054,945030.9669,0.0043,131072.0000,16.0000,0.0084,35.5062,0.2593,35.5115,128,0
read,15009.2695,960681.8369,0.0040,131072.0000,16.0000,0.0063,34.9277,2.1229,34.9309,128,0
write,14843.1898,950057.2850,0.0043,131072.0000,16.0000,0.0068,35.3183,0.2767,35.3218,128,1
read,15217.8429,974036.8276,0.0040,131072.0000,16.0000,0.0066,34.4488,1.6658,34.4522,128,1
write,14795.6497,947018.8497,0.0043,131072.0000,16.0000,0.0070,35.4316,0.2518,35.4353,128,2
read,14922.5902,955142.2044,0.0040,131072.0000,16.0000,0.0069,35.1303,2.1795,35.1338,128,2
write,14736.1117,943202.0033,0.0043,131072.0000,16.0000,0.0066,35.5750,0.3498,35.5784,128,3
read,14951.5166,956988.3280,0.0040,131072.0000,16.0000,0.0065,35.0625,2.1133,35.0659,128,3
write,14762.8295,944914.2451,0.0043,131072.0000,16.0000,0.0068,35.5106,0.2664,35.5141,128,4
read,14842.5253,950013.2268,0.0040,131072.0000,16.0000,0.0067,35.3200,2.4184,35.3234,128,4
