access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,218821.2029,219317.0706,0.0131,131072.0000,1024.0000,0.0075,1.7929,0.1438,1.7970,96,0
read,293172.6108,293972.3938,0.0103,131072.0000,1024.0000,0.0071,1.3376,0.0340,1.3412,96,0
write,231209.5516,231673.3716,0.0131,131072.0000,1024.0000,0.0067,1.6973,0.0489,1.7007,96,1
read,270592.8438,271205.1563,0.0111,131072.0000,1024.0000,0.0064,1.4499,0.0298,1.4532,96,1
write,233355.9494,233818.4516,0.0128,131072.0000,1024.0000,0.0064,1.6817,0.0487,1.6850,96,2
read,280898.0675,281550.8978,0.0107,131072.0000,1024.0000,0.0063,1.3966,0.0458,1.3999,96,2
write,234419.9199,234885.3822,0.0128,131072.0000,1024.0000,0.0064,1.6741,0.0414,1.6774,96,3
read,294398.2792,295107.7392,0.0103,131072.0000,1024.0000,0.0063,1.3324,0.0291,1.3357,96,3
write,216546.1490,216920.3076,0.0139,131072.0000,1024.0000,0.0060,1.8127,0.0665,1.8159,96,4
read,316945.3197,317715.3635,0.0096,131072.0000,1024.0000,0.0059,1.2376,0.0297,1.2406,96,4
