access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,81767.3011,10240.4431,0.1196,131072.0000,8192.0000,0.0088,2.7999,1.4120,2.8052,56,0
write,82931.5015,10379.1289,0.1169,131072.0000,8192.0000,0.0069,2.7625,1.0889,2.7658,56,1
write,79932.4194,10003.2411,0.1178,131072.0000,8192.0000,0.0067,2.8663,1.5966,2.8696,56,2
write,86082.2630,10773.6543,0.1226,131072.0000,8192.0000,0.0066,2.6613,0.7186,2.6646,56,3
write,85082.2976,10648.9973,0.1177,131072.0000,8192.0000,0.0072,2.6925,1.0237,2.6959,56,4
