access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,2753.9519,176270.3269,0.0043,131072.0000,16.0000,0.0066,35.6921,0.1667,35.6956,24,0
write,2745.5721,175732.6514,0.0043,131072.0000,16.0000,0.0063,35.8013,0.2800,35.8046,24,1
write,2749.8156,176003.4075,0.0043,131072.0000,16.0000,0.0061,35.7462,0.2755,35.7493,24,2
write,2752.9463,176203.8971,0.0043,131072.0000,16.0000,0.0061,35.7055,0.1599,35.7087,24,3
write,2750.2840,176033.8861,0.0043,131072.0000,16.0000,0.0062,35.7400,0.2668,35.7432,24,4
