access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,79516.9893,79692.2995,0.0128,131072.0000,1024.0000,0.0067,1.6447,0.0325,1.6484,32,0
write,83225.2787,83384.3944,0.0121,131072.0000,1024.0000,0.0059,1.5719,0.0286,1.5749,32,1
write,83004.1859,83167.4008,0.0122,131072.0000,1024.0000,0.0060,1.5760,0.0304,1.5791,32,2
write,82789.2887,82959.9454,0.0122,131072.0000,1024.0000,0.0062,1.5799,0.0351,1.5832,32,3
write,79215.8205,79359.3654,0.0127,131072.0000,1024.0000,0.0058,1.6516,0.0460,1.6546,32,4
