access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,86248.4297,10800.8725,0.1358,131072.0000,8192.0000,0.0094,3.0338,1.2555,3.0394,64,0
write,80773.8418,10108.2232,0.1380,131072.0000,8192.0000,0.0075,3.2417,1.4215,3.2454,64,1
write,85895.7356,10749.2172,0.1361,131072.0000,8192.0000,0.0068,3.0484,1.1994,3.0519,64,2
write,72733.9113,9100.4373,0.1761,131072.0000,8192.0000,0.0067,3.6007,2.4154,3.6042,64,3
write,78366.8694,9806.3365,0.1683,131072.0000,8192.0000,0.0073,3.3415,2.3090,3.3451,64,4
