access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,126266.2525,126515.3639,0.0158,131072.0000,1024.0000,0.0077,2.0720,0.0784,2.0761,64,0
write,129949.8771,130188.4187,0.0155,131072.0000,1024.0000,0.0074,2.0136,0.0670,2.0173,64,1
write,128814.9685,129045.6017,0.0155,131072.0000,1024.0000,0.0071,2.0314,0.0777,2.0350,64,2
write,121329.9864,121548.5472,0.0165,131072.0000,1024.0000,0.0075,2.1567,0.0632,2.1606,64,3
write,113387.4722,113578.4261,0.0178,131072.0000,1024.0000,0.0075,2.3080,0.0472,2.3119,64,4
