access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,80622.5626,10091.7681,0.2389,131072.0000,8192.0000,0.0108,4.4646,3.4991,4.4708,88,0
write,81870.2992,10244.3534,0.1360,131072.0000,8192.0000,0.0089,4.3981,3.2188,4.4027,88,1
write,101263.8579,12673.1208,0.2010,131072.0000,8192.0000,0.0083,3.5552,1.6017,3.5595,88,2
write,104032.4216,13020.8625,0.1937,131072.0000,8192.0000,0.0087,3.4603,0.9278,3.4648,88,3
write,103846.8344,12997.9376,0.1789,131072.0000,8192.0000,0.0089,3.4664,1.2462,3.4710,88,4
