access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,56427.5758,28268.8787,0.0272,131072.0000,2048.0000,0.0063,1.7387,0.2232,1.7421,24,0
write,63066.6837,31597.3796,0.0237,131072.0000,2048.0000,0.0061,1.5556,0.1146,1.5587,24,1
write,64052.7135,32093.2090,0.0238,131072.0000,2048.0000,0.0061,1.5315,0.0698,1.5347,24,2
write,62504.2140,31313.4891,0.0243,131072.0000,2048.0000,0.0059,1.5697,0.0700,1.5728,24,3
write,63600.0147,31864.5970,0.0238,131072.0000,2048.0000,0.0060,1.5425,0.0439,1.5457,24,4
