access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,110227.8494,110469.9444,0.0138,131072.0000,1024.0000,0.0072,1.7797,0.0478,1.7837,48,0
write,111426.1027,111652.6902,0.0137,131072.0000,1024.0000,0.0068,1.7609,0.0434,1.7645,48,1
write,111440.9349,111673.0420,0.0137,131072.0000,1024.0000,0.0071,1.7606,0.0511,1.7642,48,2
write,107314.4329,107511.2733,0.0141,131072.0000,1024.0000,0.0065,1.8287,0.0746,1.8321,48,3
write,91809.2713,91955.9580,0.0165,131072.0000,1024.0000,0.0065,2.1381,0.0425,2.1415,48,4
