access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,77722.4137,9755.2145,0.0511,131072.0000,8192.0000,0.0065,0.8398,0.0665,0.8432,16,0
write,82086.7499,10301.5531,0.0488,131072.0000,8192.0000,0.0061,0.7952,0.0454,0.7984,16,1
write,83353.1419,10458.5317,0.0477,131072.0000,8192.0000,0.0057,0.7833,0.0445,0.7862,16,2
write,83309.9175,10456.5679,0.0477,131072.0000,8192.0000,0.0062,0.7834,0.0465,0.7867,16,3
write,83562.0882,10487.4243,0.0474,131072.0000,8192.0000,0.0061,0.7811,0.0486,0.7843,16,4
